velocidad_bala,distancia,bala_y,h1,h2,h3,h4,h5,h6,h7,h8,accion
-11.0,354.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2
-11.0,343.0,583.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,332.0,583.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,321.0,583.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,310.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,299.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,288.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,277.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,266.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,255.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,244.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,233.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,222.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,211.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,200.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-11.0,189.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,178.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,167.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,156.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,145.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,134.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,123.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,112.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,101.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,90.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,79.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,68.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-11.0,57.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
-11.0,46.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-11.0,35.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-11.0,24.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-11.0,13.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-11.0,2.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,-9.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-11.0,-20.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-11.0,-31.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-11.0,-42.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-11.0,-53.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-11.0,-64.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
